Prompt|Generated Text
"""Meeting at 10 AM, client call at 3 PM."""|"[2, 7]"
"""Team briefing at 11 AM, project deadline by 6 PM."""|"[3, 10]"
"""Staff training at 9 AM, lunch with CEO at 1 PM."""|"[1, 5]"
"""Conference call at 10:30 AM, submit report by 4:30 PM."""|"[2.5, 8.5]"
"""Review meeting at 11 AM, dinner event at 7 PM."""|"[3, 11]"
"""Interviews start at 9 AM, presentation at 2 PM."""|"[1, 6]"
"""Network maintenance at 11:30 AM, team outing at 5 PM."""|"[3.5, 9]"
"""Client visit at 10 AM, marketing discussion at 4 PM."""|"[2, 8]"
"""Budget review at 12 PM, contract negotiation at 3 PM."""|"[4, 7]"
"""Sales call at 11 AM, product launch at 6 PM."""|"[3, 10]"
"""Internal audit at 9:30 AM, strategy planning at 2:30 PM."""|"[1.5, 6.5]"
"""Webinar at 10 AM, board meeting at 4 PM."""|"[2, 8]"
"""Team huddle at 9 AM, software update at 1 PM."""|"[1, 5]"
"""Customer feedback session at 10:30 AM, office party at 5:30 PM."""|"[2.5, 9.5]"
"""HR briefing at 11 AM, project handover at 3 PM."""|"[3, 7]"
"""Quality check at 12 PM, end-of-day report at 6 PM."""|"[4, 10]"
"""Supplier meeting at 10 AM, performance review at 4 PM."""|"[2, 8]"
"""IT system review at 11 AM, client negotiation at 2 PM."""|"[3, 6]"
"""Operational training at 9 AM, design brainstorming at 1 PM."""|"[1, 5]"
"""Coffee meeting at 10:30 AM, final submission at 3:30 PM."""|"[2.5, 7.5]"
"""Legal consultation at 11 AM, team celebration at 5 PM."""|"[3, 9]"
"""Financial analysis at 12 PM, project debrief at 4 PM."""|"[4, 8]"
"""Marketing pitch at 9 AM, team feedback at 2 PM."""|"[1, 6]"
"""Press conference at 10 AM, investor meeting at 3 PM."""|"[2, 7]"
"""Team alignment at 12:30 PM, client workshop at 4:30 PM."""|"[3, 10]"
"""System upgrade at 9 AM, department meeting at 1 PM."""|"[4.5, 8.5]"
"""Staff orientation at 10:30 AM, campaign launch at 5:30 PM."""|"[1, 5]"
"""Risk assessment at 11 AM, project milestone review at 4 PM."""|"[2.5, 9.5]"
"""Vendor discussions at 12 PM, training session at 6 PM."""|"[3, 8]"
"""Product demo at 10 AM, strategy session at 3 PM."""|"[4, 10]"
"""User testing at  8 PM"""|"[2, 7]"
